race_id,race_date,venue,race_no,pool,combo,combo_codes,dividend
2026-05-17_Race1,2026-05-17,ST,1,WIN,6,J182,89.5
2026-05-17_Race1,2026-05-17,ST,1,PLACE,6,J182,26.0
2026-05-17_Race1,2026-05-17,ST,1,PLACE,10,J524,13.0
2026-05-17_Race1,2026-05-17,ST,1,PLACE,7,D241,137.5
2026-05-17_Race1,2026-05-17,ST,1,QUINELLA,"6,10",J182/J524,136.5
2026-05-17_Race1,2026-05-17,ST,1,QPL,"6,10",J182/J524,56.0
2026-05-17_Race1,2026-05-17,ST,1,QPL,"6,7",J182/D241,541.5
2026-05-17_Race1,2026-05-17,ST,1,QPL,"7,10",D241/J524,435.0
2026-05-17_Race1,2026-05-17,ST,1,FORECAST,"6,10",J182/J524,416.0
2026-05-17_Race1,2026-05-17,ST,1,TIERCE,"6,10,7",J182/J524/D241,15074.0
2026-05-17_Race1,2026-05-17,ST,1,TRIO,"6,7,10",J182/D241/J524,3994.0
2026-05-17_Race1,2026-05-17,ST,1,FIRST4,"5,6,7,10",H447/J182/D241/J524,10070.0
2026-05-17_Race1,2026-05-17,ST,1,QUARTET,"6,10,7,5",J182/J524/D241/H447,144001.0
2026-05-17_Race2,2026-05-17,ST,2,WIN,14,K043,85.5
2026-05-17_Race2,2026-05-17,ST,2,PLACE,14,K043,27.0
2026-05-17_Race2,2026-05-17,ST,2,PLACE,10,L210,16.5
2026-05-17_Race2,2026-05-17,ST,2,PLACE,4,L325,29.0
2026-05-17_Race2,2026-05-17,ST,2,QUINELLA,"10,14",L210/K043,197.0
2026-05-17_Race2,2026-05-17,ST,2,QPL,"10,14",L210/K043,78.5
2026-05-17_Race2,2026-05-17,ST,2,QPL,"4,14",L325/K043,129.5
2026-05-17_Race2,2026-05-17,ST,2,QPL,"4,10",L325/L210,73.5
2026-05-17_Race2,2026-05-17,ST,2,FORECAST,"14,10",K043/L210,514.0
2026-05-17_Race2,2026-05-17,ST,2,TIERCE,"14,10,4",K043/L210/L325,3589.0
2026-05-17_Race2,2026-05-17,ST,2,TRIO,"4,10,14",L325/L210/K043,619.0
2026-05-17_Race2,2026-05-17,ST,2,FIRST4,"2,4,10,14",K586/L325/L210/K043,2696.0
2026-05-17_Race2,2026-05-17,ST,2,QUARTET,"14,10,4,2",K043/L210/L325/K586,56784.0
2026-05-17_Race3,2026-05-17,ST,3,WIN,3,J222,123.5
2026-05-17_Race3,2026-05-17,ST,3,PLACE,3,J222,40.5
2026-05-17_Race3,2026-05-17,ST,3,PLACE,11,J309,44.5
2026-05-17_Race3,2026-05-17,ST,3,PLACE,5,K049,34.0
2026-05-17_Race3,2026-05-17,ST,3,QUINELLA,"3,11",J222/J309,1188.0
2026-05-17_Race3,2026-05-17,ST,3,QPL,"3,11",J222/J309,345.5
2026-05-17_Race3,2026-05-17,ST,3,QPL,"3,5",J222/K049,311.5
2026-05-17_Race3,2026-05-17,ST,3,QPL,"5,11",K049/J309,304.0
2026-05-17_Race3,2026-05-17,ST,3,FORECAST,"3,11",J222/J309,2034.0
2026-05-17_Race3,2026-05-17,ST,3,TIERCE,"3,11,5",J222/J309/K049,21946.0
2026-05-17_Race3,2026-05-17,ST,3,TRIO,"3,5,11",J222/K049/J309,3667.0
2026-05-17_Race3,2026-05-17,ST,3,FIRST4,"3,5,7,11",J222/K049/J243/J309,4960.0
2026-05-17_Race3,2026-05-17,ST,3,QUARTET,"3,11,5,7",J222/J309/K049/J243,148806.0
2026-05-17_Race3,2026-05-17,ST,3,TRIO,"4,10,14/3,5,11",K189/J545/K049/J309,273787.0
2026-05-17_Race4,2026-05-17,ST,4,WIN,11,K391,75.5
2026-05-17_Race4,2026-05-17,ST,4,PLACE,11,K391,24.5
2026-05-17_Race4,2026-05-17,ST,4,PLACE,10,K277,18.0
2026-05-17_Race4,2026-05-17,ST,4,PLACE,8,L132,19.5
2026-05-17_Race4,2026-05-17,ST,4,QUINELLA,"10,11",K277/K391,204.0
2026-05-17_Race4,2026-05-17,ST,4,QPL,"10,11",K277/K391,64.5
2026-05-17_Race4,2026-05-17,ST,4,QPL,"8,11",L132/K391,88.0
2026-05-17_Race4,2026-05-17,ST,4,QPL,"8,10",L132/K277,57.5
2026-05-17_Race4,2026-05-17,ST,4,FORECAST,"11,10",K391/K277,428.0
2026-05-17_Race4,2026-05-17,ST,4,TIERCE,"11,10,8",K391/K277/L132,2357.0
2026-05-17_Race4,2026-05-17,ST,4,TRIO,"8,10,11",L132/K277/K391,376.0
2026-05-17_Race4,2026-05-17,ST,4,FIRST4,"1,8,10,11",L264/L132/K277/K391,252.0
2026-05-17_Race4,2026-05-17,ST,4,QUARTET,"11,10,8,1",K391/K277/L132/L264,8797.0
2026-05-17_Race5,2026-05-17,ST,5,WIN,7,L040,25.0
2026-05-17_Race5,2026-05-17,ST,5,PLACE,7,L040,12.5
2026-05-17_Race5,2026-05-17,ST,5,PLACE,3,K542,15.0
2026-05-17_Race5,2026-05-17,ST,5,PLACE,2,J217,71.0
2026-05-17_Race5,2026-05-17,ST,5,QUINELLA,"3,7",K542/L040,57.0
2026-05-17_Race5,2026-05-17,ST,5,QPL,"3,7",K542/L040,25.0
2026-05-17_Race5,2026-05-17,ST,5,QPL,"2,7",J217/L040,114.5
2026-05-17_Race5,2026-05-17,ST,5,QPL,"2,3",J217/K542,162.0
2026-05-17_Race5,2026-05-17,ST,5,FORECAST,"7,3",L040/K542,100.0
2026-05-17_Race5,2026-05-17,ST,5,TIERCE,"7,3,2",L040/K542/J217,1580.0
2026-05-17_Race5,2026-05-17,ST,5,TRIO,"2,3,7",J217/K542/L040,456.0
2026-05-17_Race5,2026-05-17,ST,5,FIRST4,"2,3,6,7",J217/K542/L364/L040,388.0
2026-05-17_Race5,2026-05-17,ST,5,QUARTET,"7,3,2,6",L040/K542/J217/L364,8382.0
2026-05-17_Race5,2026-05-17,ST,5,TRIO,"8,10,11/2,3,7",L101/G192/K542/L040,24607.0
2026-05-17_Race6,2026-05-17,ST,6,WIN,10,L121,53.5
2026-05-17_Race6,2026-05-17,ST,6,PLACE,10,L121,19.5
2026-05-17_Race6,2026-05-17,ST,6,PLACE,11,L095,118.0
2026-05-17_Race6,2026-05-17,ST,6,PLACE,2,K363,19.5
2026-05-17_Race6,2026-05-17,ST,6,QUINELLA,"10,11",L121/L095,896.0
2026-05-17_Race6,2026-05-17,ST,6,QPL,"10,11",L121/L095,247.0
2026-05-17_Race6,2026-05-17,ST,6,QPL,"2,10",K363/L121,46.0
2026-05-17_Race6,2026-05-17,ST,6,QPL,"2,11",K363/L095,300.5
2026-05-17_Race6,2026-05-17,ST,6,FORECAST,"10,11",L121/L095,1340.0
2026-05-17_Race6,2026-05-17,ST,6,TIERCE,"10,11,2",L121/L095/K363,7736.0
2026-05-17_Race6,2026-05-17,ST,6,TRIO,"2,10,11",K363/L121/L095,1271.0
2026-05-17_Race6,2026-05-17,ST,6,FIRST4,"2,8,10,11",K363/K266/L121/L095,2789.0
2026-05-17_Race6,2026-05-17,ST,6,QUARTET,"10,11,2,8",L121/L095/K363/K266,57711.0
2026-05-17_Race7,2026-05-17,ST,7,WIN,1,K080,35.5
2026-05-17_Race7,2026-05-17,ST,7,PLACE,1,K080,17.5
2026-05-17_Race7,2026-05-17,ST,7,PLACE,4,K058,17.5
2026-05-17_Race7,2026-05-17,ST,7,PLACE,3,K582,23.5
2026-05-17_Race7,2026-05-17,ST,7,QUINELLA,"1,4",K080/K058,100.5
2026-05-17_Race7,2026-05-17,ST,7,QPL,"1,4",K080/K058,42.5
2026-05-17_Race7,2026-05-17,ST,7,QPL,"1,3",K080/K582,60.0
2026-05-17_Race7,2026-05-17,ST,7,QPL,"3,4",K582/K058,62.5
2026-05-17_Race7,2026-05-17,ST,7,FORECAST,"1,4",K080/K058,195.0
2026-05-17_Race7,2026-05-17,ST,7,TIERCE,"1,4,3",K080/K058/K582,1030.0
2026-05-17_Race7,2026-05-17,ST,7,TRIO,"1,3,4",K080/K582/K058,257.0
2026-05-17_Race7,2026-05-17,ST,7,FIRST4,"1,3,4,12",K080/K582/K058/H339,613.0
2026-05-17_Race7,2026-05-17,ST,7,QUARTET,"1,4,3,12",K080/K058/K582/H339,8242.0
2026-05-17_Race7,2026-05-17,ST,7,TRIO,"2,10,11/1,3,4",K355/K540/K582/K058,38242.0
2026-05-17_Race7,2026-05-17,ST,7,TRIO,"2,3,7/2,10,11/1,3,4",K355/K582/K540/K582/K058,2289680.0
2026-05-17_Race8,2026-05-17,ST,8,WIN,14,H168,99.0
2026-05-17_Race8,2026-05-17,ST,8,PLACE,14,H168,26.5
2026-05-17_Race8,2026-05-17,ST,8,PLACE,7,K458,51.0
2026-05-17_Race8,2026-05-17,ST,8,PLACE,5,K260,17.5
2026-05-17_Race8,2026-05-17,ST,8,QUINELLA,"7,14",K458/H168,784.0
2026-05-17_Race8,2026-05-17,ST,8,QPL,"7,14",K458/H168,201.0
2026-05-17_Race8,2026-05-17,ST,8,QPL,"5,14",K260/H168,68.0
2026-05-17_Race8,2026-05-17,ST,8,QPL,"5,7",K260/K458,141.0
2026-05-17_Race8,2026-05-17,ST,8,FORECAST,"14,7",H168/K458,1400.0
2026-05-17_Race8,2026-05-17,ST,8,TIERCE,"14,7,5",H168/K458/K260,7398.0
2026-05-17_Race8,2026-05-17,ST,8,TRIO,"5,7,14",K260/K458/H168,1004.0
2026-05-17_Race8,2026-05-17,ST,8,FIRST4,"5,7,11,14",K260/K458/K300/H168,8998.0
2026-05-17_Race8,2026-05-17,ST,8,QUARTET,"14,7,5,11",H168/K458/K260/K300,210582.0
2026-05-17_Race9,2026-05-17,ST,9,WIN,5,H453,161.0
2026-05-17_Race9,2026-05-17,ST,9,PLACE,5,H453,50.5
2026-05-17_Race9,2026-05-17,ST,9,PLACE,13,K112,47.0
2026-05-17_Race9,2026-05-17,ST,9,PLACE,7,K487,15.5
2026-05-17_Race9,2026-05-17,ST,9,QUINELLA,"5,13",H453/K112,2878.0
2026-05-17_Race9,2026-05-17,ST,9,QPL,"5,13",H453/K112,728.0
2026-05-17_Race9,2026-05-17,ST,9,QPL,"5,7",H453/K487,144.5
2026-05-17_Race9,2026-05-17,ST,9,QPL,"7,13",K487/K112,140.5
2026-05-17_Race9,2026-05-17,ST,9,FORECAST,"5,13",H453/K112,3941.0
2026-05-17_Race9,2026-05-17,ST,9,TIERCE,"5,13,7",H453/K112/K487,17685.0
2026-05-17_Race9,2026-05-17,ST,9,TRIO,"5,7,13",H453/K487/K112,2066.0
