date,bankroll,pnl,peak_bankroll,drawdown
2021-01-06,9950.0,-50.0,9950.0,0.0
2021-01-06,9910.0,-90.0,9950.0,-0.004020100502512563
2021-01-06,9860.0,-140.0,9950.0,-0.009045226130653266
2021-01-06,9810.0,-190.0,9950.0,-0.01407035175879397
2021-01-06,9750.0,-250.0,9950.0,-0.020100502512562814
2021-01-06,9690.0,-310.0,9950.0,-0.02613065326633166
2021-01-06,9620.0,-380.0,9950.0,-0.033165829145728645
2021-01-06,9580.0,-420.0,9950.0,-0.0371859296482412
2021-01-06,9530.0,-470.0,9950.0,-0.04221105527638191
2021-01-10,9470.0,-530.0,9950.0,-0.04824120603015075
2021-01-10,9400.0,-600.0,9950.0,-0.05527638190954774
2021-01-10,9330.0,-670.0,9950.0,-0.062311557788944726
2021-01-10,9290.0,-710.0,9950.0,-0.06633165829145729
2021-01-10,9210.0,-790.0,9950.0,-0.0743718592964824
2021-01-10,9140.0,-860.0,9950.0,-0.0814070351758794
2021-01-10,9060.0,-940.0,9950.0,-0.08944723618090453
2021-01-10,9010.0,-990.0,9950.0,-0.09447236180904522
2021-01-10,8960.0,-1040.0,9950.0,-0.09949748743718594
2021-01-10,8900.0,-1100.0,9950.0,-0.10552763819095477
2021-01-13,8860.0,-1140.0,9950.0,-0.10954773869346733
2021-01-13,8800.0,-1200.0,9950.0,-0.11557788944723618
2021-01-13,8750.0,-1250.0,9950.0,-0.12060301507537688
2021-01-13,8710.0,-1290.0,9950.0,-0.12462311557788945
2021-01-13,8680.0,-1320.0,9950.0,-0.12763819095477386
2021-01-13,8620.0,-1380.0,9950.0,-0.13366834170854272
2021-01-13,8540.0,-1460.0,9950.0,-0.14170854271356784
2021-01-13,8480.0,-1520.0,9950.0,-0.14773869346733667
2021-01-13,8440.0,-1560.0,9950.0,-0.15175879396984926
2021-01-17,8380.0,-1620.0,9950.0,-0.1577889447236181
2021-01-17,8310.0,-1690.0,9950.0,-0.16482412060301507
2021-01-17,8220.0,-1780.0,9950.0,-0.17386934673366833
2021-01-17,8190.0,-1810.0,9950.0,-0.17688442211055277
2021-01-17,8140.0,-1860.0,9950.0,-0.18190954773869347
2021-01-17,8070.0,-1930.0,9950.0,-0.18894472361809045
2021-01-17,8000.0,-2000.0,9950.0,-0.19597989949748743
2021-01-17,7930.0,-2070.0,9950.0,-0.20301507537688443
2021-01-17,7860.0,-2140.0,9950.0,-0.2100502512562814
2021-01-17,7790.0,-2210.0,9950.0,-0.21708542713567838
2021-01-20,7750.0,-2250.0,9950.0,-0.22110552763819097
2021-01-20,7700.0,-2300.0,9950.0,-0.22613065326633167
2021-01-20,7650.0,-2350.0,9950.0,-0.23115577889447236
2021-01-20,7600.0,-2400.0,9950.0,-0.23618090452261306
2021-01-20,7550.0,-2450.0,9950.0,-0.24120603015075376
2021-01-20,7520.0,-2480.0,9950.0,-0.2442211055276382
2021-01-20,7460.0,-2540.0,9950.0,-0.25025125628140704
2021-01-20,7410.0,-2590.0,9950.0,-0.2552763819095477
2021-01-20,7350.0,-2650.0,9950.0,-0.2613065326633166
2021-01-24,7270.0,-2730.0,9950.0,-0.2693467336683417
2021-01-24,7220.0,-2780.0,9950.0,-0.2743718592964824
2021-01-24,7170.0,-2830.0,9950.0,-0.2793969849246231
2021-01-24,7110.0,-2890.0,9950.0,-0.28542713567839195
2021-01-24,7060.0,-2940.0,9950.0,-0.2904522613065327
2021-01-24,7000.0,-3000.0,9950.0,-0.2964824120603015
2021-01-24,6950.0,-3050.0,9950.0,-0.3015075376884422
2021-01-24,6910.0,-3090.0,9950.0,-0.3055276381909548
2021-01-24,6860.0,-3140.0,9950.0,-0.31055276381909547
2021-01-24,6810.0,-3190.0,9950.0,-0.3155778894472362
2021-01-27,6770.0,-3230.0,9950.0,-0.31959798994974875
2021-01-27,6710.0,-3290.0,9950.0,-0.3256281407035176
2021-01-27,6650.0,-3350.0,9950.0,-0.3316582914572864
2021-01-27,6600.0,-3400.0,9950.0,-0.33668341708542715
2021-01-27,6560.0,-3440.0,9950.0,-0.3407035175879397
2021-01-27,6520.0,-3480.0,9950.0,-0.34472361809045227
2021-01-27,6470.0,-3530.0,9950.0,-0.349748743718593
2021-01-27,6420.0,-3580.0,9950.0,-0.35477386934673366
2021-01-27,6370.0,-3630.0,9950.0,-0.3597989949748744
2021-01-31,6290.0,-3710.0,9950.0,-0.3678391959798995
2021-01-31,6230.0,-3770.0,9950.0,-0.37386934673366834
2021-01-31,6190.0,-3810.0,9950.0,-0.3778894472361809
2021-01-31,6160.0,-3840.0,9950.0,-0.38090452261306534
2021-01-31,6120.0,-3880.0,9950.0,-0.3849246231155779
2021-01-31,6080.0,-3920.0,9950.0,-0.38894472361809046
2021-01-31,6020.0,-3980.0,9950.0,-0.3949748743718593
2021-01-31,5960.0,-4040.0,9950.0,-0.40100502512562813
2021-01-31,5900.0,-4100.0,9950.0,-0.40703517587939697
2021-01-31,5830.0,-4170.0,9950.0,-0.414070351758794
2021-02-03,5760.0,-4240.0,9950.0,-0.421105527638191
2021-02-03,5690.0,-4310.0,9950.0,-0.42814070351758793
2021-02-03,5670.0,-4330.0,9950.0,-0.4301507537688442
2021-02-03,5620.0,-4380.0,9950.0,-0.43517587939698493
2021-02-03,5550.0,-4450.0,9950.0,-0.44221105527638194
2021-02-03,5520.0,-4480.0,9950.0,-0.4452261306532663
2021-02-03,5460.0,-4540.0,9950.0,-0.45125628140703516
2021-02-03,5410.0,-4590.0,9950.0,-0.4562814070351759
2021-02-03,5350.0,-4650.0,9950.0,-0.4623115577889447
2021-02-06,5300.0,-4700.0,9950.0,-0.46733668341708545
2021-02-06,5220.0,-4780.0,9950.0,-0.47537688442211057
2021-02-06,5140.0,-4860.0,9950.0,-0.4834170854271357
2021-02-06,5100.0,-4900.0,9950.0,-0.48743718592964824
2021-02-06,5040.0,-4960.0,9950.0,-0.4934673366834171
2021-02-06,4970.0,-5030.0,9950.0,-0.5005025125628141
2021-02-06,4910.0,-5090.0,9950.0,-0.5065326633165829
2021-02-06,4860.0,-5140.0,9950.0,-0.5115577889447236
2021-02-06,4820.0,-5180.0,9950.0,-0.5155778894472361
2021-02-06,4770.0,-5230.0,9950.0,-0.5206030150753769
2021-02-10,4720.0,-5280.0,9950.0,-0.5256281407035176
2021-02-10,4660.0,-5340.0,9950.0,-0.5316582914572864
2021-02-10,4630.0,-5370.0,9950.0,-0.5346733668341709
2021-02-10,4590.0,-5410.0,9950.0,-0.5386934673366834
2021-02-10,4540.0,-5460.0,9950.0,-0.5437185929648242
2021-02-10,4490.0,-5510.0,9950.0,-0.5487437185929648
2021-02-10,4430.0,-5570.0,9950.0,-0.5547738693467337
2021-02-10,4370.0,-5630.0,9950.0,-0.5608040201005026
2021-02-10,4320.0,-5680.0,9950.0,-0.5658291457286432
2021-02-14,4240.0,-5760.0,9950.0,-0.5738693467336683
2021-02-14,4190.0,-5810.0,9950.0,-0.578894472361809
2021-02-14,4130.0,-5870.0,9950.0,-0.5849246231155779
2021-02-14,4060.0,-5940.0,9950.0,-0.5919597989949749
2021-02-14,3970.0,-6030.0,9950.0,-0.6010050251256281
2021-02-14,3900.0,-6100.0,9950.0,-0.6080402010050251
2021-02-14,3830.0,-6170.0,9950.0,-0.6150753768844222
2021-02-14,3760.0,-6240.0,9950.0,-0.6221105527638191
2021-02-14,3700.0,-6300.0,9950.0,-0.628140703517588
2021-02-14,3670.0,-6330.0,9950.0,-0.6311557788944724
2021-02-14,3610.0,-6390.0,9950.0,-0.6371859296482412
2021-02-17,3560.0,-6440.0,9950.0,-0.6422110552763819
2021-02-17,3510.0,-6490.0,9950.0,-0.6472361809045226
2021-02-17,3450.0,-6550.0,9950.0,-0.6532663316582915
2021-02-17,3390.0,-6610.0,9950.0,-0.6592964824120603
2021-02-17,3350.0,-6650.0,9950.0,-0.6633165829145728
2021-02-17,3330.0,-6670.0,9950.0,-0.6653266331658292
2021-02-17,3300.0,-6700.0,9950.0,-0.6683417085427136
2021-02-17,3250.0,-6750.0,9950.0,-0.6733668341708543
2021-02-17,3200.0,-6800.0,9950.0,-0.678391959798995
2021-02-21,3130.0,-6870.0,9950.0,-0.685427135678392
2021-02-21,3060.0,-6940.0,9950.0,-0.6924623115577889
2021-02-21,3020.0,-6980.0,9950.0,-0.6964824120603015
2021-02-21,2990.0,-7010.0,9950.0,-0.699497487437186
2021-02-21,2940.0,-7060.0,9950.0,-0.7045226130653266
2021-02-21,2870.0,-7130.0,9950.0,-0.7115577889447237
2021-02-21,2820.0,-7180.0,9950.0,-0.7165829145728643
2021-02-21,2790.0,-7210.0,9950.0,-0.7195979899497488
2021-02-21,2730.0,-7270.0,9950.0,-0.7256281407035176
2021-02-21,2650.0,-7350.0,9950.0,-0.7336683417085427
2021-02-24,2600.0,-7400.0,9950.0,-0.7386934673366834
2021-02-24,2550.0,-7450.0,9950.0,-0.7437185929648241
2021-02-24,2530.0,-7470.0,9950.0,-0.7457286432160805
2021-02-24,2470.0,-7530.0,9950.0,-0.7517587939698492
2021-02-24,2430.0,-7570.0,9950.0,-0.7557788944723618
2021-02-24,2390.0,-7610.0,9950.0,-0.7597989949748744
2021-02-24,2360.0,-7640.0,9950.0,-0.7628140703517587
2021-02-24,2310.0,-7690.0,9950.0,-0.7678391959798995
2021-02-24,2280.0,-7720.0,9950.0,-0.770854271356784
2021-02-28,2250.0,-7750.0,9950.0,-0.7738693467336684
2021-02-28,2180.0,-7820.0,9950.0,-0.7809045226130653
2021-02-28,2130.0,-7870.0,9950.0,-0.785929648241206
2021-02-28,2100.0,-7900.0,9950.0,-0.7889447236180904
2021-02-28,2040.0,-7960.0,9950.0,-0.7949748743718593
2021-02-28,1950.0,-8050.0,9950.0,-0.8040201005025126
2021-02-28,1890.0,-8110.0,9950.0,-0.8100502512562814
2021-02-28,1850.0,-8150.0,9950.0,-0.8140703517587939
2021-02-28,1780.0,-8220.0,9950.0,-0.821105527638191
2021-02-28,1710.0,-8290.0,9950.0,-0.828140703517588
2021-03-03,1660.0,-8340.0,9950.0,-0.8331658291457287
2021-03-03,1600.0,-8400.0,9950.0,-0.8391959798994975
2021-03-03,1550.0,-8450.0,9950.0,-0.8442211055276382
2021-03-03,1510.0,-8490.0,9950.0,-0.8482412060301507
2021-03-03,1470.0,-8530.0,9950.0,-0.8522613065326633
2021-03-03,1420.0,-8580.0,9950.0,-0.857286432160804
2021-03-03,1350.0,-8650.0,9950.0,-0.864321608040201
2021-03-03,1290.0,-8710.0,9950.0,-0.8703517587939699
2021-03-03,1230.0,-8770.0,9950.0,-0.8763819095477386
2021-03-07,1180.0,-8820.0,9950.0,-0.8814070351758794
2021-03-07,1120.0,-8880.0,9950.0,-0.8874371859296483
2021-03-07,1060.0,-8940.0,9950.0,-0.893467336683417
2021-03-07,1020.0,-8980.0,9950.0,-0.8974874371859296
2021-03-07,960.0,-9040.0,9950.0,-0.9035175879396985
2021-03-07,910.0,-9090.0,9950.0,-0.9085427135678392
2021-03-07,850.0,-9150.0,9950.0,-0.914572864321608
2021-03-07,790.0,-9210.0,9950.0,-0.9206030150753769
2021-03-07,720.0,-9280.0,9950.0,-0.9276381909547738
2021-03-07,670.0,-9330.0,9950.0,-0.9326633165829146
2021-03-10,640.0,-9360.0,9950.0,-0.935678391959799
2021-03-10,630.0,-9370.0,9950.0,-0.9366834170854271
2021-03-10,570.0,-9430.0,9950.0,-0.942713567839196
2021-03-10,520.0,-9480.0,9950.0,-0.9477386934673366
2021-03-10,470.0,-9530.0,9950.0,-0.9527638190954774
2021-03-10,420.0,-9580.0,9950.0,-0.9577889447236181
2021-03-10,360.0,-9640.0,9950.0,-0.963819095477387
2021-03-10,300.0,-9700.0,9950.0,-0.9698492462311558
2021-03-10,250.0,-9750.0,9950.0,-0.9748743718592965
2021-03-13,190.0,-9810.0,9950.0,-0.9809045226130654
