race_id,race_date,venue,race_no,pool,combo,combo_codes,dividend
2020-01-01_Race1,2020-01-01,ST,1,WIN,6,6,75.5
2020-01-01_Race1,2020-01-01,ST,1,PLACE,4,4,20.0
2020-01-01_Race1,2020-01-01,ST,1,PLACE,6,6,19.0
2020-01-01_Race1,2020-01-01,ST,1,PLACE,8,8,38.5
2020-01-01_Race1,2020-01-01,ST,1,QUINELLA,"6,8",6/8,367.0
2020-01-01_Race1,2020-01-01,ST,1,QPL,"4,6",4/6,75.5
2020-01-01_Race1,2020-01-01,ST,1,QPL,"4,8",4/8,142.5
2020-01-01_Race1,2020-01-01,ST,1,QPL,"6,8",6/8,102.5
2020-01-01_Race1,2020-01-01,ST,1,TIERCE,"6,8,4",6/8/4,4482.0
2020-01-01_Race1,2020-01-01,ST,1,TRIO,"4,6,8",4/6/8,709.0
2020-01-01_Race1,2020-01-01,ST,1,FIRST4,"4,6,8,11",4/6/8/11,564.0
2020-01-01_Race1,2020-01-01,ST,1,QUARTET,"6,8,4,11",6/8/4/11,13134.0
2020-01-01_Race2,2020-01-01,ST,2,WIN,10,10,1471.0
2020-01-01_Race2,2020-01-01,ST,2,WIN,A3,,28.0
2020-01-01_Race2,2020-01-01,ST,2,PLACE,1,1,15.0
2020-01-01_Race2,2020-01-01,ST,2,PLACE,10,10,265.0
2020-01-01_Race2,2020-01-01,ST,2,PLACE,8,8,27.0
2020-01-01_Race2,2020-01-01,ST,2,QUINELLA,"8,10",8/10,5204.0
2020-01-01_Race2,2020-01-01,ST,2,QPL,"1,10",1/10,795.5
2020-01-01_Race2,2020-01-01,ST,2,QPL,"1,8",1/8,70.0
2020-01-01_Race2,2020-01-01,ST,2,QPL,"8,10",8/10,1265.5
2020-01-01_Race2,2020-01-01,ST,2,TIERCE,"10,8,1",10/8/1,42104.0
2020-01-01_Race2,2020-01-01,ST,2,TRIO,"1,8,10",1/8/10,3936.0
2020-01-01_Race2,2020-01-01,ST,2,FIRST4,"1,8,10,12",1/8/10/12,5021.0
2020-01-01_Race2,2020-01-01,ST,2,QUARTET,"10,8,1,12",10/8/1/12,224633.0
2020-01-01_Race3,2020-01-01,ST,3,WIN,6,6,21.0
2020-01-01_Race3,2020-01-01,ST,3,PLACE,1,1,16.5
2020-01-01_Race3,2020-01-01,ST,3,PLACE,2,2,14.0
2020-01-01_Race3,2020-01-01,ST,3,PLACE,6,6,12.0
2020-01-01_Race3,2020-01-01,ST,3,QUINELLA,"1,6",1/6,62.0
2020-01-01_Race3,2020-01-01,ST,3,QPL,"1,2",1/2,36.0
2020-01-01_Race3,2020-01-01,ST,3,QPL,"1,6",1/6,28.0
2020-01-01_Race3,2020-01-01,ST,3,QPL,"2,6",2/6,21.5
2020-01-01_Race3,2020-01-01,ST,3,TIERCE,"6,1,2",6/1/2,277.0
2020-01-01_Race3,2020-01-01,ST,3,TRIO,"1,2,6",1/2/6,63.0
2020-01-01_Race3,2020-01-01,ST,3,FIRST4,"1,2,5,6",1/2/5/6,241.0
2020-01-01_Race3,2020-01-01,ST,3,QUARTET,"6,1,2,5",6/1/2/5,2898.0
2020-01-01_Race4,2020-01-01,ST,4,WIN,2,2,164.5
2020-01-01_Race4,2020-01-01,ST,4,WIN,A3,,37.5
2020-01-01_Race4,2020-01-01,ST,4,PLACE,11,11,235.5
2020-01-01_Race4,2020-01-01,ST,4,PLACE,2,2,41.0
2020-01-01_Race4,2020-01-01,ST,4,PLACE,3,3,15.5
2020-01-01_Race4,2020-01-01,ST,4,QUINELLA,"2,3",2/3,350.5
2020-01-01_Race4,2020-01-01,ST,4,QPL,"2,11",2/11,2357.5
2020-01-01_Race4,2020-01-01,ST,4,QPL,"2,3",2/3,108.0
2020-01-01_Race4,2020-01-01,ST,4,QPL,"3,11",3/11,728.5
2020-01-01_Race4,2020-01-01,ST,4,TIERCE,"2,3,11",2/3/11,61197.0
2020-01-01_Race4,2020-01-01,ST,4,TRIO,"1,2,6/2,3,11",1/2/3/11,53745.0
2020-01-01_Race4,2020-01-01,ST,4,TRIO,"2,3,11",2/3/11,9699.0
2020-01-01_Race4,2020-01-01,ST,4,FIRST4,"2,3,4,11",2/3/4/11,7028.0
2020-01-01_Race4,2020-01-01,ST,4,QUARTET,"2,3,11,4",2/3/11/4,288769.0
2020-01-01_Race5,2020-01-01,ST,5,WIN,11,11,23.5
2020-01-01_Race5,2020-01-01,ST,5,PLACE,11,11,14.0
2020-01-01_Race5,2020-01-01,ST,5,PLACE,4,4,19.5
2020-01-01_Race5,2020-01-01,ST,5,PLACE,5,5,64.0
2020-01-01_Race5,2020-01-01,ST,5,QUINELLA,"5,11",5/11,311.0
2020-01-01_Race5,2020-01-01,ST,5,QPL,"4,11",4/11,30.0
2020-01-01_Race5,2020-01-01,ST,5,QPL,"4,5",4/5,215.5
