total_bets,win_rate,total_staked,net_pnl,roi,max_drawdown,sharpe,final,min_odds,max_odds,min_ev
149,19.463087248322147,21400.011196179756,-542.8433466918395,-2.536649825626006,-36.384000719460964,0.056643567288770076,9457.15665330816,3.5,8.0,1.15
134,20.149253731343283,20392.944911752715,-781.9607155053891,-3.834466865326229,-38.2159036731576,0.021708503593981045,9218.039284494611,3.5,8.0,1.18
113,23.893805309734514,21438.638132016666,2103.5603444418357,9.812005461766523,-26.426297169921874,0.2804821582201192,12103.560344441836,3.5,8.0,1.22
150,19.333333333333332,21341.85675171812,-731.986479758003,-3.4298162914015182,-37.65632070507174,0.03844943745633697,9268.013520241997,3.5,8.5,1.15
134,20.149253731343283,20392.944911752715,-781.9607155053891,-3.834466865326229,-38.2159036731576,0.021708503593981045,9218.039284494611,3.5,8.5,1.18
113,23.893805309734514,21438.638132016666,2103.5603444418357,9.812005461766523,-26.426297169921874,0.2804821582201192,12103.560344441836,3.5,8.5,1.22
92,19.565217391304348,16133.87592674086,1105.5404831012856,6.852293200475922,-35.87840358336773,0.19753744287103175,11105.540483101286,4.0,8.0,1.15
83,19.27710843373494,14914.289575134628,496.90515474168024,3.3317386808026677,-37.34877174930658,0.14006324698493264,10496.90515474168,4.0,8.0,1.18
71,22.535211267605636,14793.893046921152,2952.851449888336,19.959935092966433,-28.408321700919224,0.3651127030207245,12952.851449888336,4.0,8.0,1.22
93,19.35483870967742,16118.493244860627,883.4296734392537,5.480845262760121,-37.16083551170038,0.1776584345568763,10883.429673439254,4.0,8.5,1.15
83,19.27710843373494,14914.289575134628,496.90515474168024,3.3317386808026677,-37.34877174930658,0.14006324698493264,10496.90515474168,4.0,8.5,1.18
71,22.535211267605636,14793.893046921152,2952.851449888336,19.959935092966433,-28.408321700919224,0.3651127030207245,12952.851449888336,4.0,8.5,1.22
65,24.615384615384617,14250.222548208909,4582.605978186062,32.15813621635014,-24.258160942612044,0.4998170025278224,14582.605978186062,4.5,8.0,1.15
61,22.950819672131146,13181.61239865992,3076.5089512700815,23.339397777944438,-25.77299772375985,0.3992877851109491,13076.508951270082,4.5,8.0,1.18
52,26.923076923076923,12696.154528314955,5583.852937516431,43.98066300361519,-16.34574449628589,0.6124738397381798,15583.85293751643,4.5,8.0,1.22
66,24.242424242424242,14275.721549173304,4290.953858622346,30.05770211923776,-25.7729977237598,0.47618916212094015,14290.953858622346,4.5,8.5,1.15
61,22.950819672131146,13181.61239865992,3076.5089512700815,23.339397777944438,-25.77299772375985,0.3992877851109491,13076.508951270082,4.5,8.5,1.18
52,26.923076923076923,12696.154528314955,5583.852937516431,43.98066300361519,-16.34574449628589,0.6124738397381798,15583.85293751643,4.5,8.5,1.22
44,25.0,10043.952118989122,3933.5706586873475,39.16357437876002,-19.92686492502041,0.48461054152647703,13933.570658687348,5.0,8.0,1.15
42,23.809523809523807,9312.023961260393,3092.015878046519,33.204552425013425,-21.265283953948302,0.41462413722028074,13092.015878046519,5.0,8.0,1.18
36,27.77777777777778,8726.919885393245,4779.170833164826,54.76354654250927,-13.187446675328001,0.5855136935722653,14779.170833164826,5.0,8.0,1.22
45,24.444444444444443,10136.631911940032,3654.899245513603,36.05634768298594,-19.92686492502041,0.45879501456419497,13654.899245513603,5.0,8.5,1.15
42,23.809523809523807,9312.023961260393,3092.015878046519,33.204552425013425,-21.265283953948302,0.41462413722028074,13092.015878046519,5.0,8.5,1.18
36,27.77777777777778,8726.919885393245,4779.170833164826,54.76354654250927,-13.187446675328001,0.5855136935722653,14779.170833164826,5.0,8.5,1.22
